Sample,Gene,Count
A1_Scer4_PHO2,Lelo4,25
A1_Scer4_PHO2,Scer2,582
A1_Scer4_PHO2,Scer4,291
A1_Scer4_PHO2,ScerACT1,10021
A1_Scer4_PHO2,ScerALG9,1102
A1_Scer4_PHO2,ScerHEM2,643
A1_Scer4_PHO2,ScerRPN2,2922
A1_Scer4_PHO2,Smik2,8
A1_Scer4_PHO2,Suva2,5
A1_Scer4_PHO2,Lelo4,25
A1_Scer4_PHO2,Scer2,582
A1_Scer4_PHO2,Scer4,291
A1_Scer4_PHO2,ScerACT1,10021
A1_Scer4_PHO2,ScerALG9,1102
A1_Scer4_PHO2,ScerHEM2,643
A1_Scer4_PHO2,ScerRPN2,2922
A1_Scer4_PHO2,Smik2,8
A1_Scer4_PHO2,Suva2,5
A2_Scer4_PHO2,Lelo4,37
A2_Scer4_PHO2,Scer2,554
A2_Scer4_PHO2,Scer4,343
A2_Scer4_PHO2,ScerACT1,9075
A2_Scer4_PHO2,ScerALG9,1001
A2_Scer4_PHO2,ScerHEM2,635
A2_Scer4_PHO2,ScerRPN2,3183
A2_Scer4_PHO2,Smik2,21
A2_Scer4_PHO2,Suva2,10
B1_Scer4_pho2,Lelo4,39
B1_Scer4_pho2,Scer4,388
B1_Scer4_pho2,ScerACT1,10811
B1_Scer4_pho2,ScerALG9,1320
B1_Scer4_pho2,ScerHEM2,770
B1_Scer4_pho2,ScerRPN2,3869
B1_Scer4_pho2,Smik2,12
B1_Scer4_pho2,Suva2,6
D2_pho4_pho2_swap,Lelo4,43
D2_pho4_pho2_swap,ScerACT1,10736
D2_pho4_pho2_swap,ScerALG9,1315
D2_pho4_pho2_swap,ScerHEM2,940
D2_pho4_pho2_swap,ScerRPN2,4250
D2_pho4_pho2_swap,Smik2,17
D2_pho4_pho2_swap,Suva2,15
C1_pho4_PHO2,Lelo4,28
C1_pho4_PHO2,Scer2,575
C1_pho4_PHO2,ScerACT1,10416
C1_pho4_PHO2,ScerALG9,1173
C1_pho4_PHO2,ScerHEM2,909
C1_pho4_PHO2,ScerRPN2,3541
C1_pho4_PHO2,Smik2,9
C1_pho4_PHO2,Suva2,10
C2_pho4_PHO2,Lelo4,47
C2_pho4_PHO2,Scer2,714
C2_pho4_PHO2,ScerACT1,13567
C2_pho4_PHO2,ScerALG9,1494
C2_pho4_PHO2,ScerHEM2,1035
C2_pho4_PHO2,ScerRPN2,4715
C2_pho4_PHO2,Smik2,18
C2_pho4_PHO2,Suva2,9
D1_pho4_pho2,Lelo4,43
D1_pho4_pho2,Scer2,1
D1_pho4_pho2,ScerACT1,13024
D1_pho4_pho2,ScerALG9,1481
D1_pho4_pho2,ScerHEM2,1057
D1_pho4_pho2,ScerRPN2,4515
D1_pho4_pho2,Smik2,11
D1_pho4_pho2,Suva2,8
B2_Scer4_pho2_swap,Lelo4,32
B2_Scer4_pho2_swap,Scer4,492
B2_Scer4_pho2_swap,ScerACT1,12843
B2_Scer4_pho2_swap,ScerALG9,1418
B2_Scer4_pho2_swap,ScerHEM2,1035
B2_Scer4_pho2_swap,ScerRPN2,4425
B2_Scer4_pho2_swap,Smik2,22
B2_Scer4_pho2_swap,Suva2,9
E1_Spar4_PHO2,Lelo4,29
E1_Spar4_PHO2,Scer2,615
E1_Spar4_PHO2,ScerACT1,9999
E1_Spar4_PHO2,ScerALG9,1183
E1_Spar4_PHO2,ScerHEM2,711
E1_Spar4_PHO2,ScerRPN2,3510
E1_Spar4_PHO2,Sklu4,1
E1_Spar4_PHO2,Smik2,11
E1_Spar4_PHO2,Spar4,484
E1_Spar4_PHO2,Suva2,6
F2_Sklu4_PHO2,Lelo4,53
F2_Sklu4_PHO2,Scer2,832
F2_Sklu4_PHO2,ScerACT1,14501
F2_Sklu4_PHO2,ScerALG9,1747
F2_Sklu4_PHO2,ScerHEM2,1142
F2_Sklu4_PHO2,ScerRPN2,5093
F2_Sklu4_PHO2,Sklu4,1118
F2_Sklu4_PHO2,Smik2,18
F2_Sklu4_PHO2,Suva2,13
G1_Spar4_pho2,Lelo4,35
G1_Spar4_pho2,Scer4,1
G1_Spar4_pho2,ScerACT1,9400
G1_Spar4_pho2,ScerALG9,1124
G1_Spar4_pho2,ScerHEM2,732
G1_Spar4_pho2,ScerRPN2,3049
G1_Spar4_pho2,Smik2,7
G1_Spar4_pho2,Spar4,441
G1_Spar4_pho2,Suva2,3
G2_Spar4_pho2,Lelo4,50
G2_Spar4_pho2,Scer4,1
G2_Spar4_pho2,ScerACT1,10513
G2_Spar4_pho2,ScerALG9,1213
G2_Spar4_pho2,ScerHEM2,794
G2_Spar4_pho2,ScerRPN2,3553
G2_Spar4_pho2,Sklu4,1
G2_Spar4_pho2,Smik2,21
G2_Spar4_pho2,Smik4,1
G2_Spar4_pho2,Spar4,472
G2_Spar4_pho2,Suva2,12
H1_Sklu4_pho2,Lelo4,26
H1_Sklu4_pho2,Scer2,1
H1_Sklu4_pho2,ScerACT1,10147
H1_Sklu4_pho2,ScerALG9,1457
H1_Sklu4_pho2,ScerHEM2,1094
H1_Sklu4_pho2,ScerRPN2,3752
H1_Sklu4_pho2,Sklu4,810
H1_Sklu4_pho2,Smik2,6
H1_Sklu4_pho2,Suva2,9
H2_Sklu4_pho2,Lelo4,33
H2_Sklu4_pho2,ScerACT1,10966
H2_Sklu4_pho2,ScerALG9,1652
H2_Sklu4_pho2,ScerHEM2,1086
H2_Sklu4_pho2,ScerRPN2,4198
H2_Sklu4_pho2,Sklu4,888
H2_Sklu4_pho2,Smik2,11
H2_Sklu4_pho2,Suva2,9
I1_Spar4_PHO2,Lelo4,19
I1_Spar4_PHO2,Scer2,368
I1_Spar4_PHO2,ScerACT1,7255
I1_Spar4_PHO2,ScerALG9,881
I1_Spar4_PHO2,ScerHEM2,569
I1_Spar4_PHO2,ScerRPN2,2437
I1_Spar4_PHO2,Smik2,12
I1_Spar4_PHO2,Spar4,325
I1_Spar4_PHO2,Suva2,4
I2_Spar4_PHO2,Lelo4,45
I2_Spar4_PHO2,Scer2,737
I2_Spar4_PHO2,ScerACT1,12216
I2_Spar4_PHO2,ScerALG9,1378
I2_Spar4_PHO2,ScerHEM2,796
I2_Spar4_PHO2,ScerRPN2,4443
I2_Spar4_PHO2,Sklu4,1
I2_Spar4_PHO2,Smik2,20
I2_Spar4_PHO2,Spar4,530
I2_Spar4_PHO2,Suva2,12
J1_Sklu4_PHO2,Lelo4,43
J1_Sklu4_PHO2,Scer2,893
J1_Sklu4_PHO2,ScerACT1,13830
J1_Sklu4_PHO2,ScerALG9,1659
J1_Sklu4_PHO2,ScerHEM2,979
J1_Sklu4_PHO2,ScerRPN2,4980
J1_Sklu4_PHO2,Sklu4,1048
J1_Sklu4_PHO2,Smik2,24
J1_Sklu4_PHO2,Suva2,7
J2_Sklu4_PHO2,Lelo4,45
J2_Sklu4_PHO2,Scer2,621
J2_Sklu4_PHO2,ScerACT1,10133
J2_Sklu4_PHO2,ScerALG9,1224
J2_Sklu4_PHO2,ScerHEM2,648
J2_Sklu4_PHO2,ScerRPN2,3692
J2_Sklu4_PHO2,Sklu4,772
J2_Sklu4_PHO2,Smik2,17
J2_Sklu4_PHO2,Suva2,9
lane2_undertermined,Cgla2,16
lane2_undertermined,Cgla4,130
lane2_undertermined,Klac4,79
lane2_undertermined,Lelo4,51
lane2_undertermined,Scas4,76
lane2_undertermined,Scer2,366
lane2_undertermined,Scer4,1
lane2_undertermined,ScerACT1,17676
lane2_undertermined,ScerALG9,1478
lane2_undertermined,ScerHEM2,1103
lane2_undertermined,ScerRPN2,5670
lane2_undertermined,Sklu4,172
lane2_undertermined,Smik2,40
lane2_undertermined,Spar4,70
lane2_undertermined,Suva2,15
lane5_Undetermined,Lelo4,13
lane5_Undetermined,Scer2,89
lane5_Undetermined,Scer4,18
lane5_Undetermined,ScerACT1,2602
lane5_Undetermined,ScerALG9,394
lane5_Undetermined,ScerHEM2,198
lane5_Undetermined,ScerRPN2,906
lane5_Undetermined,Sklu4,74
lane5_Undetermined,Smik2,5
lane5_Undetermined,Spar4,23
LH1_mock,Cgla2,72
LH1_mock,Cgla4,294
LH1_mock,Klac4,2
LH1_mock,Lelo4,37
LH1_mock,Scas4,3
LH1_mock,Scer2,284
LH1_mock,Scer4,2
LH1_mock,ScerACT1,1058
LH1_mock,ScerALG9,262
LH1_mock,ScerHEM2,175
LH1_mock,ScerRPN2,763
LH1_mock,Sklu4,7
LH1_mock,Smik2,135
LH1_mock,Spar4,6
LH1_mock,Suva2,51
LH2_CgPho4_pho2,Cgla2,57
LH2_CgPho4_pho2,Cgla4,63
LH2_CgPho4_pho2,Klac4,2
LH2_CgPho4_pho2,Lelo4,2
LH2_CgPho4_pho2,Scas4,1
LH2_CgPho4_pho2,Scer2,9
LH2_CgPho4_pho2,Scer4,1
