Cgla4	Cniv4	Ndel4	Cbra4	Nbac4	Lklu4	Spar4	Scer4
IRT1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
YAL002W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YAL054C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YAL061W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YAL062W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YAR031W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YAR071W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBL043W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBL049W	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
YBL069W	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
YBR045C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR050C	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR067C	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
YBR072W	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
YBR093C	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YBR094W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR117C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR145W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR147W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR169C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR240C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR287W	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
YBR296C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YCL027W	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YCL048W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YCL048W-A	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YCR021C	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YCR045C	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YCR051W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YCR098C	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YCR105W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL021W	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL022C-A	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL024C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL048C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL079C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL085W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
