ORF,O1,O2,N1,N2,S1,S2,Q1,Q2
CAGL0A00105g,0,0,0,1,0,0,0,0
CAGL0A00110g,0,0,0,1,0,0,0,0
CAGL0A00116g,0,0,0,0,0,0,0,0
CAGL0A00132g,0,0,1,0,0,0,0,0
CAGL0A00154g,0,0,0,0,0,0,0,0
CAGL0A00165g,222,135,283,186,90,215,170,77
CAGL0A00187g,1190,905,1094,963,436,671,1169,919
CAGL0A00209g,5400,3278,4551,4301,2370,2674,4940,2441
CAGL0A00231g,1524,954,1328,935,357,630,1100,653
CAGL0A00253g,1334,927,1226,1026,682,813,1361,849
CAGL0A00275g,2056,1488,1703,1330,870,1128,1918,1312
CAGL0A00297g,485,453,486,426,264,398,520,451
CAGL0A00319g,620,504,560,512,234,409,594,419
CAGL0A00341g,46,42,96,86,32,40,76,32
CAGL0A00363g,5021,2999,3614,3459,2421,2757,4870,2874
CAGL0A00385g,639,472,472,404,109,228,524,319
CAGL0A00407g,3092,2008,2626,2735,1299,1734,3464,2501
CAGL0A00429g,4027,2497,3256,2727,1569,2393,3158,1746
CAGL0A00451g,1996,1406,1591,1296,564,977,1711,1230
CAGL0A00473g,2508,1757,1855,1360,636,1051,1845,1377
CAGL0A00495g,63580,37892,55199,39140,19734,19087,38810,29249
CAGL0A00517g,1296,910,1625,1598,563,545,1289,789
CAGL0A00539g,1178,934,1200,936,610,962,1182,779
CAGL0A00561g,259,151,249,225,111,181,248,118
CAGL0A00583g,655,402,513,390,160,401,473,293
CAGL0A00605g,646,461,706,691,333,387,720,425
CAGL0A00627g,1429,953,1198,853,419,733,1242,808
CAGL0A00649g,6,5,6,4,3,11,5,5
CAGL0A00671r,0,1,0,0,0,1,0,0
CAGL0A00715g,0,0,0,0,0,0,1,0
CAGL0A00737g,30,25,106,40,5,6,80,31
CAGL0A00759s,0,0,0,0,0,0,0,0
CAGL0A00781g,1044,677,1384,1425,242,663,1103,582
CAGL0A00803g,1150,768,1178,979,362,711,1142,761
CAGL0A00825g,803,699,772,644,379,548,861,613
CAGL0A00847g,466,300,354,249,116,285,395,251
CAGL0A00869g,483,443,443,350,54,328,502,369
CAGL0A00891g,1120,753,1041,944,485,711,1191,737
CAGL0A00913g,975,703,871,632,179,521,748,606
CAGL0A00935g,905,690,417,351,348,522,438,423
CAGL0A00957g,1000,671,526,688,523,637,620,317
CAGL0A00979g,17591,12153,12382,9968,7234,10639,11862,8737
CAGL0A01001g,693,512,831,682,254,224,556,418
CAGL0A01023g,940,671,888,766,322,390,715,551
CAGL0A01045g,5278,4494,5051,4457,1884,1516,4720,3927
CAGL0A01067g,3606,2986,2576,1883,1453,2187,2579,2167
CAGL0A01089g,108,87,85,113,61,78,111,67
CAGL0A01111g,1981,1785,2004,1859,850,1019,1892,1639
CAGL0A01133g,916,514,896,978,413,562,954,565
CAGL0A01155g,609,500,567,438,243,360,580,396
CAGL0A01177g,291,206,216,166,100,128,151,168
CAGL0A01193g,464,547,460,358,221,281,479,340
CAGL0A01199g,3202,3015,1839,1538,1016,1293,2504,2415
CAGL0A01221g,3108,2390,2694,2672,2369,2593,2586,1247
CAGL0A01243g,873,711,42205,35711,684,360,24965,19689
CAGL0A01284g,101,84,326,333,56,75,289,140
CAGL0A01325g,69,59,75,41,21,24,69,39
CAGL0A01366g,51,60,194,181,35,26,136,72
CAGL0A01408g,49,59,50,46,23,11,36,34
CAGL0A01430g,8921,4938,6313,5111,4151,5044,6001,3778
CAGL0A01452g,1128,648,933,766,306,602,744,404
CAGL0A01474g,2666,2726,2266,1478,1027,1451,1650,2269
CAGL0A01496r,0,0,0,0,0,0,1,0
CAGL0A01540g,24913,14593,18881,12367,11434,13419,18046,10119
CAGL0A01562g,50137,35830,37342,26659,26899,37058,37098,23118
CAGL0A01584g,35,37,35,29,8,21,38,43
CAGL0A01606g,69,36,239,218,34,42,171,125
CAGL0A01628g,900,774,1907,1261,319,480,1265,1154
CAGL0A01650g,340,352,2010,1449,178,268,1411,990
CAGL0A01672g,1557,1156,1279,1230,781,1113,1611,1015
CAGL0A01694g,297,194,438,427,151,217,404,177
CAGL0A01716g,574,606,1623,1797,305,259,1123,832
CAGL0A01738g,1789,1148,3206,2820,702,1203,2212,1030
CAGL0A01760g,1068,713,936,887,471,759,1089,581
CAGL0A01782g,21428,12993,22288,8678,8174,11271,10550,12861
CAGL0A01804g,3065,2351,3961,2355,694,1121,2606,2930
CAGL0A01826g,8,7,21,27,2,2,24,11
CAGL0A01848g,2640,1692,2688,2290,991,1541,2909,1485
CAGL0A01870g,273,203,273,332,142,202,305,157
CAGL0A01892g,0,0,0,0,0,0,0,0
CAGL0A01914g,3593,2301,2863,2068,1219,2608,2978,1839
CAGL0A01936r,0,1,0,0,0,0,0,0
CAGL0A01958g,2088,1374,1546,990,653,1231,1557,1098
CAGL0A01980g,1360,982,1067,813,360,713,1182,749
CAGL0A02002g,26,45,66,70,7,12,65,39
CAGL0A02024g,349,201,357,422,157,225,449,183
CAGL0A02046g,924,580,1723,1527,425,649,1496,649
CAGL0A02068r,0,0,0,0,0,0,0,0
CAGL0A02090g,7264,5025,4829,3499,2570,3612,4032,2975
CAGL0A02112g,12863,8222,7566,5679,5831,6699,7206,4436
CAGL0A02134g,763,630,543,685,369,759,715,339
CAGL0A02145g,28,26,28,28,39,24,34,18
CAGL0A02167r,0,0,0,0,0,0,0,0
CAGL0A02189g,9171,6673,6280,4432,3267,4949,6049,4389
CAGL0A02211g,5107,3135,4759,1381,1269,2056,1754,1944
CAGL0A02233g,1269,1069,2416,977,377,529,1175,1217
CAGL0A02255g,0,0,0,0,0,0,0,0
CAGL0A02277g,0,0,0,0,0,0,0,0
CAGL0A02299g,247,162,171,102,78,109,94,92
CAGL0A02321g,5294,3421,7926,5133,1344,1780,5187,4138
CAGL0A02343g,4,0,0,2,0,2,0,0
CAGL0A02365g,4000,2617,4381,3415,1649,1826,3216,2012
CAGL0A02387g,1690,1026,1319,1244,676,770,1451,899
