CHR	Location	Associated Gene (ORF)	Associated Gene (Name)	Alignability	Pho4 Occupancy ChIP No Pi	Pho4 Occupancy Input No Pi 	Pho4 Occupancy ChIP High Pi	Pho4 Occupancy Input High Pi	Pho4 Occupancy ChIP in pho80Δ	Pho4 Occupancy ChIP in pho80Δ cbf1Δ	Pho4 Occupancy ChIP in No Pi Pho2Δ	Pho2 Occupancy ChIP No Pi	Pho2 Occupancy Input No Pi 	Pho2 Occupancy ChIP High Pi	Pho2 Occupancy Input High Pi	Cbf1 Occupancy ChIP No Pi	Cbf1 Occupancy Input No Pi	Cbf1 Occupancy ChIP High Pi	Cbf1 Occupancy Input High Pi	Mock IP Occupancy ChIP No Pi	Mock IP Occupancy ChIP High Pi	Nucleosome High Pi	Nucleosome No Pi	Nucleosome cbf1Δ high Pi	PHO4 Enrichment No Pi	PHO4 Enrichment High Pi	Pho2 Enrichment No Pi	Pho2 Enrichment High Pi	Cbf1 Enrichment No Pi	Cbf1 Enrichment High Pi	Pho4 Recruitment (No Pi/ High Pi)	Pho2 Recruitment (No Pi/ High Pi)	Pho4 binding No Pi	Cbf1 binding No Pi	Pho4 binding High Pi	Cbf1 binding High Pi
chr1	355	NA	NA	1	50	205	20	82	43	16	10	60	119	18	104	57	84	56	93	6	39	464	547	491	2.3	1.2	1.5	0.9	3.1	0.8	1.9	1.7	0	1	0	0
chr1	16197	NA	NA	1	17	210	12	71	32	10	11	18	97	15	58	9	41	12	59	3	4	686	736	601	0.7	0.9	0.6	1.3	1	0.3	0.9	0.4	0	0	0	0
chr1	29374	NA	NA	1	34	218	17	76	45	18	8	42	103	31	72	21	76	46	63	8	39	359	362	342	1.5	1.1	1.2	2.2	1.3	1	1.3	0.6	0	0	0	0
chr1	31712	YAL062W 	GDH3 	1	26	162	26	80	33	12	6	63	93	20	62	827	89	1024	56	12	30	413	355	375	1.6	1.6	2.1	1.7	42.1	24.9	1	1.2	0	1	0	1
chr1	35436	YAL060W 	BDH1 	1	37	191	36	81	47	25	20	38	115	24	77	80	115	243	90	17	30	636	670	644	1.9	2.2	1	1.6	3.2	3.6	0.8	0.6	0	1	0	1
chr1	45404	YAL053W YAL054C 	YAL053W ACS1 	1	51	128	18	66	73	60	17	85	87	32	73	512	70	1412	48	22	20	257	221	225	3.8	1.3	3	2.3	33.4	40.2	2.8	1.3	0	1	0	1
chr1	45482	YAL053W YAL054C 	YAL053W ACS1 	1	52	170	19	74	43	61	15	166	107	22	81	576	53	864	68	7	13	67	64	38	2.9	1.3	4.7	1.4	49.7	17.1	2.2	3.4	0	1	0	1
chr1	68823	YAL039C 	CYC3 	1	127	155	22	97	129	73	49	149	103	30	66	86	98	291	70	18	42	344	315	321	7.8	1.2	4.4	2.4	4	5.6	6.7	1.8	1	0	0	1
chr1	69072	YAL039C 	CYC3 	1	210	160	16	87	240	138	70	159	99	28	61	262	93	423	58	10	86	354	303	297	12.5	0.9	4.9	2.4	12.8	9.8	13.4	2	1	1	0	1
chr1	71266	YAL038W 	CDC19 	1	303	185	23	76	389	172	77	311	124	80	73	203	71	553	58	20	59	159	159	114	15.6	1.5	7.6	5.8	13.1	13	10.2	1.3	1	1	0	1
chr1	78313	NA	NA	1	40	220	18	68	54	10	23	52	96	18	77	25	64	23	81	7	48	366	419	474	1.8	1.3	1.7	1.2	1.7	0.4	1.3	1.3	0	0	0	0
chr1	100154	YAL026C 	DRS2 	1	8	140	14	48	21	6	15	33	76	6	54	62	42	96	53	3	9	469	406	363	0.6	1.4	1.3	0.6	6.8	2.5	0.4	2.3	0	1	0	1
chr1	106719	YAL024C 	LTE1 	1	25	199	22	75	69	23	17	37	98	19	80	33	89	95	65	12	50	553	533	471	1.2	1.5	1.1	1.2	1.7	2	0.8	0.9	0	0	0	0
chr1	113629	YAL021C 	CCR4 	1	26	162	34	72	46	19	11	44	115	22	59	30	79	76	62	11	41	408	601	521	1.6	2.4	1.2	2	1.7	1.7	0.6	0.6	0	0	0	0
chr1	116544	NA	NA	1	53	231	27	84	43	5	21	46	115	24	79	335	91	885	97	20	24	483	548	498	2.2	1.6	1.2	1.6	16.6	12.4	1.3	0.8	0	1	0	1
chr1	119751	YAL018C YAL017W 	YAL018C PSK1 	1	22	135	6	45	18	70	1	79	80	15	49	1300	33	1635	29	2	2	11	3	9	1.5	0.6	3	1.6	180.6	75.6	2.5	1.9	0	1	0	1
chr1	127310	NA	NA	1	24	217	19	90	31	22	16	50	128	22	75	54	93	83	74	19	55	834	700	859	1.1	1.1	1.2	1.5	2.6	1.5	1	0.8	0	0	0	0
chr1	141867	YAL005C YAL003W 	SSA1 EFB1 	1	471	245	19	94	304	138	72	387	125	56	96	825	94	2108	61	4	49	155	82	85	18.3	1	9.4	3	40	46.5	18.2	3.1	1	1	0	1
chr1	143969	YAL002W 	VPS8 	1	74	155	13	85	62	38	10	69	86	19	87	39	90	104	69	17	46	684	449	629	4.5	0.8	2.4	1.2	2	2	5.8	2.1	0	0	0	0
chr1	160051	NA	NA	1	29	216	10	69	43	10	5	82	105	15	55	17	32	13	71	2	13	593	621	454	1.3	0.7	2.4	1.4	2.4	0.2	1.7	1.7	0	0	0	0
chr1	190756	YAR035W 	YAT1 	1	28	122	23	62	28	43	16	57	81	12	52	301	88	1159	59	13	51	380	471	236	2.2	1.9	2.1	1.2	15.5	26.5	1.2	1.7	0	1	0	1
chr1	219745	YAR064W 	YAR064W 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	225179	YAR071W 	PHO11 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	229860	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
