"id"	"chrom"	"start"	"end"	"width"	"motif"	"Bind4"	"Bind2_noPi"	"Bind2_hiPi"	"Gene"	"G_dep2"	"R32v46"	"R43v49.no30.new"	"R43v49.no90.new"	"CgPho2.enrichment.High.Pi"	"CgPho2.enrichment.No.Pi"	"CgPho4.enrichment.High.Pi.no.pho2"	"CgPho4.enrichment.High.Pi.with.Pho2"	"CgPho4.enrichment.No.Pi.no.pho2"	"CgPho4.enrichment.No.Pi.with.Pho2"	"Motif"	"Ratio.Cgla4.no.Pi"	"B_dep2"	"GeneID"	"Location"	"annotation"	"comment"	"Fun_4"	"sCgla4.w.cg2"	"sCgla4.alone"	"sCgla2.w.cg4"	"bCgla4.w.cg2"	"bCgla4.alone"	"bCgla2.w.cg4"
1	"Chr1"	58151	58650	500	1	0.5	1	0	1	2	0.6	1.611	1.428	2.034	4.531	1.604	2.057	4.51	6.148	1.9160650343	1.36319290465632	FALSE	"CAGL0A00517g"	"upstream"	""	""	1	0	0	0	0.620761142753265	0.25243677674577	0.491865778534542
2	"Chr1"	128960	129844	885	2	1	1	0	2	1	0.61	1.077	1.599	2.353	7.954	2.146	2.465	24.981	37.76	3.6862665033	1.51154877707057	FALSE	"CAGL0A01243g"	"upstream"	""	""	1	1	1	0	5.67187464766276	4.90298800948959	0.617366462142439
3	"Chr1"	161432	161934	503	2	1	0	0	2	0	0.43	0.834	1.106	1.344	2.051	1.782	2.1	17.003	18.907	3.6862665033	1.11198023878139	FALSE	"CAGL0A01606g"	"upstream"	""	""	0.5	1	0	0	2.20286172772927	1.32385529230347	0.462094958746291
3	"Chr1"	161432	161934	503	2	1	0	0	2	0	0.43	0.834	1.106	1.344	2.051	1.782	2.1	17.003	18.907	3.6862665033	1.11198023878139	FALSE	"CAGL0A01628g"	"gene body"	""	""	0.5	0	0	0	0.939617896952663	1.00669401245069	0.160811528863159
4	"Chr1"	162274	162773	500	1	1	1	1	1	2	0.62	1.445	1.464	1.952	2.826	0.913	0.968	5.805	8.041	1.9160650343	1.38518518518519	FALSE	"CAGL0A01650g"	"upstream"	""	""	1	1	1	0	2.36228582525043	1.80851745273467	0.3385525499657
5	"Chr10"	87781	88280	500	2	0	0	0	0	0	1.82	1.053	1.099	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CAGL0J00803g"	"upstream"	""	""	0	1	0	0	0.965952028955596	0.945309547735371	0.04508724643539
6	"Chr10"	153301	153800	500	0	0	1	0	0	0	1.15	0.88	1.425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"upstream"	""	"strong PHO2 peak, PHO4 only in 43no90"	0	NA	NA	NA	NA	NA	NA
7	"Chr10"	573282	573783	502	0	1	1	1	1	1	0.56	1.059	1.531	2.313	2.91	1.011	1.161	12.64	15.583	0.9538625452	1.23283227848101	FALSE	"CAGL0J06050g"	"upstream"	""	""	1	0	1	0	0.640373581728745	1.26824453652826	0.477489658375962
8	"Chr10"	676776	677275	500	2	1	1	1	1	1	0.51	0.922	1.207	1.927	2.995	0.668	0.84	4.845	5.028	3.6862665033	1.03777089783282	FALSE	"CAGL0J07040g"	"upstream"	""	""	1	0	0	0	1.52517465632021	0.234802079734923	0.856696228500678
9	"Chr10"	702499	702998	500	1	0	1	1	0	0	0.97	1.244	0.944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	0	NA	NA	NA	NA	NA	NA
10	"Chr11"	78661	79160	500	2	0.5	1	0.5	1	2	0.46	0.66	1.106	1.239	1.592	1.416	1.441	3.375	3.484	3.6862665033	1.0322962962963	FALSE	"CAGL0K00693g"	"upstream"	""	""	0.5	0	0	0	0.426122670975313	0.280363197632562	0.0724637461174114
10	"Chr11"	78661	79160	500	2	0.5	1	0.5	1	2	0.46	0.66	1.106	1.239	1.592	1.416	1.441	3.375	3.484	3.6862665033	1.0322962962963	FALSE	"CAGL0K00715g"	"upstream"	""	""	0.5	0	0	0	0.702582499208476	0.0436779339676967	0.542218635416707
11	"Chr11"	229113	229612	500	0	0	1	1	1	0	0.85	0.718	1.045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	"strong PHO2 peak, no obvious PHO4 peak"	0	NA	NA	NA	NA	NA	NA
12	"Chr11"	394406	394905	500	0	0	1	1	1	0	1.6	1.73	1.533	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CAGL0K04257g"	"upstream"	""	"strong PHO2 peak"	0	1	1	-1	2.71138210304178	4.47910242524248	-1.41913360957465
13	"Chr11"	402501	404000	1500	1	1	1	1	1	1	1.28	0.775	1.473	2.278	2.242	1.696	1.647	3.922	6.671	1.9160650343	1.70091789903111	FALSE	"CAGL0K04301g"	"upstream"	""	"peak spread over 2 kb, PHO2 peak nearby"	1	1	1	0	2.48256532841829	2.27852285481903	-0.317429509201628
14	"Chr11"	496755	497254	500	2	1	0	0	-1	0	1.23	1.466	1.027	1.768	2.03	3.586	3.432	8.462	7.775	3.6862665033	0.918813519262586	FALSE	"CAGL0K05137g"	"upstream*"	""	"peak in another gene's body, and separated by one gene from its putative target"	0	1	0	0	0.942887253572066	0.462744024346857	0.31638955356759
15	"Chr11"	529611	530171	561	1	1	1	0.5	1	0	0.91	1.394	1.411	4.164	13.089	2.955	3.257	24.714	35.687	2.3200645243	1.44399935259367	FALSE	"CAGL0K05390g"	"upstream"	""	"strong PHO2 peak coincide with strong PHO4 peak, yet not PHO4 motifs"	1	1	0	0	1.34573928025355	0.738631130846855	-0.0275866222291068
16	"Chr11"	712427	712929	503	2	1	0	0	1	0	0.82	0.81	1.006	1.162	1.199	1.337	1.462	3.872	4.622	3.6862665033	1.19369834710744	FALSE	"CAGL0K07271g"	"gene body"	""	""	-1	0	0	0	0.374314555176493	0.594431488873777	-0.0521188918426727
17	"Chr11"	742617	743184	568	2	1	1	0	2	0	0.65	0.967	1.352	1.123	1.52	0.937	1	10.387	13.758	3.6862665033	1.32454029074805	FALSE	"CAGL0K07480g"	"upstream"	"putative phosphoglucomutase"	""	1	0	0	0	0.793800286394421	0.160907070110273	0.547512548620161
